key	title	publishingOrganizationKey	publishingOrganizationTitle	matched_keywords
a57e6526-54c6-465a-baa9-904979bbc93f	Naturalis Biodiversity Center (NL) - Cainozoic Mollusca	396d5f30-dea9-11db-8ab4-b8a03c50a862	Naturalis Biodiversity Center	
96596036-f762-11e1-a439-00145eb45e9a	Collection Arachnology SMF	c76cf030-2a95-11da-9cc1-b8a03c50a862	Senckenberg	
61a9ca38-b62f-11e2-afcb-00145eb45e9a	Fungus Collections at Staatliches Museum für Naturkunde Karlsruhe (Herbarium KR)	0674aea0-a7e1-11d8-9534-b8a03c50a862	Staatliche Naturwissenschaftliche Sammlungen Bayerns	
96678e90-f762-11e1-a439-00145eb45e9a	Collection Aves (bird skins) SMF	c76cf030-2a95-11da-9cc1-b8a03c50a862	Senckenberg	
812c1e24-f762-11e1-a439-00145eb45e9a	Dataflos	e2ce7dc0-a8b5-11d8-9534-b8a03c50a862	Plant Science and Biodiversity Centre, Institute of Botany, Slovak Academy of Sciences	
828a3d8c-f762-11e1-a439-00145eb45e9a	Herbarium Senckenbergianum (FR) - Fungi	c76cf030-2a95-11da-9cc1-b8a03c50a862	Senckenberg	
953c46c5-363c-4bcb-a065-86d66f7ffa77	TUR Vascular plant collections of the Turku University, Herbarium generale	3ee55840-1f1d-11d8-a2da-b8a03c50a862	University of Turku - Biodiversity Unit	
0102d2af-7f21-4238-b1fa-cbbeeee60423	Naturalis Biodiversity Center (NL) - Crustacea	396d5f30-dea9-11db-8ab4-b8a03c50a862	Naturalis Biodiversity Center	
70906b9c-9594-42e4-84fb-8cf0ee66d22f	The Environmental Sample Collection of Spiders at the Staatliches Museum für Naturkunde Karlsruhe	0674aea0-a7e1-11d8-9534-b8a03c50a862	Staatliche Naturwissenschaftliche Sammlungen Bayerns	
7a2660bc-f762-11e1-a439-00145eb45e9a	The Fungal Collection at the Senckenberg Museum für Naturkunde Görlitz	0674aea0-a7e1-11d8-9534-b8a03c50a862	Staatliche Naturwissenschaftliche Sammlungen Bayerns	
68a0650f-96ae-499c-8b2a-a4f92c01e4b3	Bryophyte Herbarium, Oslo (O) UiO	f314b0b0-e3dc-11d9-8d81-b8a03c50a862	University of Oslo	
54f946aa-2ca9-4a51-9ee5-011219e0381e	Masaryk University - Herbarium BRNU	9a4467a2-eccd-4aa7-bb6d-aea3a31f2a2c	Masaryk University, Department of Botany and Zoology	
e4deab67-0998-4140-b573-0ba1f624eb3e	Fungarium, Oslo (O) UiO	f314b0b0-e3dc-11d9-8d81-b8a03c50a862	University of Oslo	
